-1005_0,det_-1005_0_1,106.58
-1011_0,det_-1011_0_1,198.25
-1027_0,det_-1027_0_1,197.35
-1029_0,det_-1029_0_1,136.57
-1033_0,det_-1033_0_1,81.79
-1057_0,det_-1057_0_1,212.89
-1093_0,det_-1093_0_1,131.08
-11_0,det_-11_0_1,134.33
-116_0,det_-116_0_1,118.28
-117_0,det_-117_0_1,78.96
-119_0,det_-119_0_1,93.32
-1199_0,det_-1199_0_1,85.2
-1201_0,det_-1201_0_1,174.5
-121_0,det_-121_0_1,177.85
-123_0,det_-123_0_1,120.8
-125_0,det_-125_0_1,155.52
-126_0,det_-126_0_1,184.58
-128_0,det_-128_0_1,70.56
-13_0,det_-13_0_1,86.23
-1323_0,det_-1323_0_1,204.83
-1342_0,det_-1342_0_1,134.41
-1343_0,det_-1343_0_1,117.82
-1345_0,det_-1345_0_1,163.82
-1357_0,det_-1357_0_1,107.3
-1359_0,det_-1359_0_1,191.46
-1363_0,det_-1363_0_1,131.4
-1373_0,det_-1373_0_1,182.84
-138_0,det_-138_0_1,169.36
-1388_0,det_-1388_0_1,134.02
-1391_0,det_-1391_0_1,122.08
-1396_0,det_-1396_0_1,94.86
-1404_0,det_-1404_0_1,126.66999999999999
-1415_0,det_-1415_0_1,200.19
-1425_0,det_-1425_0_1,179.78
-1427_0,det_-1427_0_1,137.63
-1429_0,det_-1429_0_1,83.48
-1431_0,det_-1431_0_1,105.62
-1441_0,det_-1441_0_1,148.75
-1447_0,det_-1447_0_1,184.35
-1464_0,det_-1464_0_1,83.44
-1483_0,det_-1483_0_1,101.83
-1493_0,det_-1493_0_1,147.08
-1494_0,det_-1494_0_1,179.35
-1499_0,det_-1499_0_1,191.2
-15_0,det_-15_0_1,115.15
-1501_0,det_-1501_0_1,107.0
-1517_0,det_-1517_0_1,134.99
-1523_0,det_-1523_0_1,126.59
-1524_0,det_-1524_0_1,101.3
-1526_0,det_-1526_0_1,147.16
-1532_0,det_-1532_0_1,212.51
-1533_0,det_-1533_0_1,131.45
-1535_0,det_-1535_0_1,85.26
-17_0,det_-17_0_1,179.62
-1767_0,det_-1767_0_1,198.19
-1769_0,det_-1769_0_1,125.94999999999999
-1771_0,det_-1771_0_1,199.37
-1773_0,det_-1773_0_1,168.61
-1774_0,det_-1774_0_1,121.74
-1775_0,det_-1775_0_1,198.77
-1783_0,det_-1783_0_1,199.29
